Username: someone, Password: here
Username: username, Password: 0001
Username: Chad, Password: 12345
Username: a, Password: a
Username:                                    Chad, Password:             190
Username:                                    Chad, Password:             190
Username:                                    Chad, Password:             190
Username:                                    Chad, Password:             190
Username:                                    Chad, Password:             190
Username:                                    Chad, Password:             190
Username:                                    Chad, Password:             190
Username:                                    Chad, Password:             190
Username:                                    Chad, Password:             190
Username:                                    Chad, Password:             190
Username:                                    Chad, Password:             190
Username: chad, Password: 123eee
Username: chad, Password: 123eee
Username: Chad, Password: 123eee
